lat,lon,clay,silt,sand,soc,ph
41.33148761,-94.92782663,34.95,60.33333333,4.7,11.86666667,0.636666667
40.738,-93.786,412.5,495.0,92.5,140.0,6.166666667
42.036,-94.861,369.1666667,574.3333333,56.33333333,125.6666667,6.55
43.204,-94.207,323.6666667,386.1666667,290.3333333,178.0,7.2
41.683,-95.817,247.1666667,718.0,34.83333333,131.3333333,6.8
42.428,-94.182,287.1666667,400.0,312.8333333,169.8333333,6.733333333
41.032,-91.949,351.5,617.3333333,31.16666667,122.3333333,6.133333333
43.357,-92.317,290.1666667,435.3333333,274.5,196.0,6.383333333
43.082,-94.678,218.1666667,368.3333333,413.5,159.0,7.116666667
40.735,-94.244,401.6666667,541.3333333,57.0,141.6666667,6.333333333
41.898,-90.532,321.6666667,620.6666667,57.66666667,135.3333333,6.1
42.385,-94.64,392.6666667,474.6666667,132.6666667,139.8333333,6.85
43.377,-93.261,221.5,420.6666667,357.8333333,210.5,6.433333333
42.47,-92.309,290.5,394.8333333,314.6666667,130.6666667,6.483333333
41.029,-93.785,405.5,515.8333333,78.66666667,118.5,6.383333333
42.863,-91.844,290.0,423.6666667,286.1666667,158.1666667,6.133333333
41.334,-93.561,363.6666667,524.3333333,112.0,139.8333333,6.366666667
41.331,-94.471,394.8333333,547.5,57.66666667,137.5,6.433333333
41.686,-92.531,365.1666667,501.0,133.8333333,120.5,6.266666667
41.685,-95.31,341.1666667,605.6666667,53.0,143.0,6.35
40.739,-93.327,393.8333333,534.6666667,71.83333333,151.8333333,6.066666667
42.172,-90.574,305.1666667,568.1666667,126.6666667,171.0,6.233333333
42.845,-91.341,309.1666667,618.3333333,72.5,166.0,6.15
42.735,-95.151,368.3333333,500.6666667,131.1666667,144.1666667,6.666666667
41.028,-94.242,415.6666667,500.1666667,84.0,140.3333333,6.183333333
41.336,-92.179,400.3333333,435.8333333,164.0,128.8333333,6.2
42.036,-93.465,295.8333333,358.3333333,345.8333333,120.8333333,6.683333333
43.356,-92.789,300.5,391.8333333,307.5,175.6666667,6.516666667
42.402,-92.791,350.6666667,579.0,70.5,128.8333333,6.4
43.291,-91.844,306.3333333,545.0,148.8333333,128.1666667,5.966666667
41.686,-93.574,335.1666667,477.5,187.3333333,113.0,6.6
42.386,-95.105,389.0,546.8333333,64.33333333,137.3333333,6.6
42.036,-92.999,374.8333333,508.8333333,116.3333333,125.5,6.383333333
42.471,-91.367,318.0,416.3333333,265.3333333,127.0,5.866666667
40.748,-92.41,408.3333333,528.5,63.0,101.0,6.133333333
43.06,-92.789,304.1666667,389.1666667,306.5,159.3333333,6.683333333
41.685,-94.906,374.6666667,568.5,57.0,131.8333333,6.5
42.121,-91.131,266.0,594.1666667,139.6666667,142.6666667,6.316666667
41.686,-93.054,353.3333333,530.6666667,116.0,132.1666667,6.316666667
42.738,-96.214,338.8333333,547.3333333,113.8333333,145.8333333,7.2
43.082,-93.734,256.0,385.0,359.1666667,163.1666667,6.983333333
42.469,-90.883,331.6666667,597.3333333,71.16666667,186.1666667,6.2
42.08,-92.066,376.1666667,479.8333333,144.0,125.8333333,6.366666667
42.079,-91.599,278.8333333,486.8333333,234.6666667,120.6666667,6.2
41.033,-95.621,328.5,596.3333333,75.5,115.8333333,6.7
41.685,-94.04,396.5,529.5,74.16666667,154.6666667,6.883333333
40.753,-91.95,370.3333333,586.5,43.16666667,107.6666667,6.116666667
41.672,-91.588,336.5,593.1666667,70.33333333,163.6666667,5.983333333
41.03,-95.156,427.6666667,515.6666667,56.5,120.1666667,6.316666667
42.384,-93.24,281.0,458.1666667,261.1666667,123.3333333,6.533333333
40.737,-94.696,444.8333333,449.0,106.1666667,103.8333333,6.416666667
40.739,-95.15,406.3333333,514.3333333,79.5,118.5,6.516666667
42.736,-95.624,335.0,566.5,98.5,137.5,6.8
40.923,-91.181,321.6666667,633.6666667,44.66666667,118.0,6.283333333
41.637,-90.623,289.6666667,651.0,59.16666667,168.8333333,6.2
40.642,-91.479,306.8333333,578.0,115.3333333,134.0,6.166666667
40.746,-95.605,281.5,639.1666667,79.5,121.0,7.0
41.686,-92.066,346.3333333,531.3333333,122.3333333,132.0,6.233333333
42.732,-92.79,268.1666667,436.3333333,295.3333333,129.8333333,6.6
43.378,-94.678,281.3333333,376.1666667,342.6666667,220.5,7.25
42.39,-96.045,309.5,614.1666667,76.33333333,128.6666667,7.083333333
43.083,-95.151,351.8333333,403.0,245.3333333,160.8333333,6.933333333
42.037,-95.382,333.3333333,479.8333333,186.6666667,132.3333333,6.816666667
42.471,-91.838,232.3333333,320.5,447.1666667,120.8333333,6.216666667
43.38,-96.21,355.6666667,559.1666667,85.33333333,164.5,6.8
41.029,-94.699,408.3333333,467.3333333,124.1666667,129.6666667,6.65
42.052,-95.96,314.6666667,599.0,86.5,170.6666667,6.633333333
42.776,-94.207,193.5,283.3333333,523.1666667,169.6666667,7.233333333
41.219,-91.26,354.1666667,542.5,103.5,137.3333333,6.2
42.08,-92.533,367.3333333,535.6666667,97.33333333,134.6666667,6.233333333
41.03,-92.869,361.3333333,551.3333333,87.5,160.6666667,5.966666667
41.484,-91.113,322.3333333,599.5,78.0,146.1666667,6.033333333
41.029,-93.328,418.5,511.1666667,70.5,129.8333333,6.183333333
42.384,-93.707,332.3333333,358.0,309.5,151.0,6.533333333
42.733,-93.262,346.8333333,458.3333333,194.6666667,148.1666667,6.65
42.775,-92.318,232.1666667,298.5,470.0,136.3333333,6.416666667
43.284,-91.378,281.3333333,430.1666667,288.5,163.0,6.283333333
43.378,-93.734,270.6666667,370.6666667,358.8333333,190.6666667,6.95
42.387,-95.513,301.1666667,647.3333333,51.33333333,130.1666667,6.75
41.334,-93.099,375.1666667,483.8333333,140.8333333,170.6666667,6.366666667
41.335,-92.641,419.3333333,456.1666667,124.3333333,124.3333333,6.15
43.379,-95.624,426.5,432.5,140.8333333,175.8333333,7.033333333
43.082,-93.261,329.0,407.8333333,263.1666667,181.6666667,6.716666667
42.036,-94.397,373.0,468.5,158.8333333,126.5,6.8
40.988,-91.545,350.3333333,618.3333333,31.33333333,124.3333333,6.066666667
42.037,-93.932,341.3333333,516.8333333,141.8333333,147.1666667,6.566666667
41.337,-95.542,363.6666667,580.3333333,56.0,126.3333333,6.583333333
41.336,-91.718,376.6666667,597.1666667,26.16666667,143.1666667,6.133333333
42.862,-91.844,290.0,423.6666667,286.1666667,158.1666667,6.133333333
42.469,-90.882,331.6666667,597.3333333,71.16666667,186.1666667,6.2
41.671,-91.588,336.5,593.1666667,70.33333333,163.6666667,5.983333333
41.685,-93.573,335.1666667,477.5,187.3333333,113.0,6.6
41.684,-94.906,374.6666667,568.5,57.0,131.8333333,6.5
42.036,-93.932,341.3333333,516.8333333,141.8333333,147.1666667,6.566666667
40.923,-91.182,321.6666667,633.6666667,44.66666667,118.0,6.283333333
42.731,-92.79,268.1666667,436.3333333,295.3333333,129.8333333,6.6
43.082,-95.151,351.8333333,403.0,245.3333333,160.8333333,6.933333333
43.081,-93.261,329.0,407.8333333,263.1666667,181.6666667,6.716666667
43.381,-96.21,355.6666667,559.1666667,85.33333333,164.5,6.8
41.218,-91.259,354.1666667,542.5,103.5,137.3333333,6.2
42.732,-93.262,346.8333333,458.3333333,194.6666667,148.1666667,6.65
42.036,-94.86,369.1666667,574.3333333,56.33333333,125.6666667,6.55
41.332,-94.928,349.5,603.3333333,47.0,118.6666667,6.366666667
42.733,-93.263,346.8333333,458.3333333,194.6666667,148.1666667,6.65
42.387,-95.514,301.1666667,647.3333333,51.33333333,130.1666667,6.75
42.736,-95.151,368.3333333,500.6666667,131.1666667,144.1666667,6.666666667
42.735,-95.624,335.0,566.5,98.5,137.5,6.8
40.988,-91.544,350.3333333,618.3333333,31.33333333,124.3333333,6.066666667
42.777,-94.207,193.5,283.3333333,523.1666667,169.6666667,7.233333333
41.686,-92.064,346.3333333,531.3333333,122.3333333,132.0,6.233333333
42.036,-93.931,341.3333333,516.8333333,141.8333333,147.1666667,6.566666667
41.335,-91.718,376.6666667,597.1666667,26.16666667,143.1666667,6.133333333
43.082,-93.735,256.0,385.0,359.1666667,163.1666667,6.983333333
41.687,-92.531,365.1666667,501.0,133.8333333,120.5,6.266666667
43.378,-94.679,281.3333333,376.1666667,342.6666667,220.5,7.25
41.034,-95.621,328.5,596.3333333,75.5,115.8333333,6.7
42.053,-95.96,314.6666667,599.0,86.5,170.6666667,6.633333333
40.642,-91.48,318.5,592.8333333,88.5,129.8333333,6.183333333
43.291,-91.845,306.3333333,545.0,148.8333333,128.1666667,5.966666667
41.671,-91.587,336.5,593.1666667,70.33333333,163.6666667,5.983333333
43.284,-91.379,288.5,372.8333333,338.6666667,136.0,6.116666667
42.844,-91.341,312.3333333,616.3333333,71.83333333,143.3333333,6.116666667
41.337,-95.543,363.6666667,580.3333333,56.0,126.3333333,6.583333333
43.35671826,-92.31707403,308.8333333,425.1666667,265.8333333,172.1666667,6.233333333
42.03610186,-94.39657198,373.0,468.5,158.8333333,126.5,6.8
43.08151114,-93.26124649,329.0,407.8333333,263.1666667,181.6666667,6.716666667
42.42781574,-94.18167388,287.1666667,400.0,312.8333333,169.8333333,6.733333333
42.47099471,-91.83759948,232.3333333,320.5,447.1666667,120.8333333,6.216666667
40.74774134,-92.41006182,408.3333333,528.5,63.0,101.0,6.133333333
41.02908227,-94.69927858,408.3333333,467.3333333,124.1666667,129.6666667,6.65
42.0361272,-93.46506801,295.8333333,358.3333333,345.8333333,120.8333333,6.683333333
42.73163545,-92.79020847,268.1666667,436.3333333,295.3333333,129.8333333,6.6
43.0819918,-94.6781601,218.1666667,368.3333333,413.5,159.0,7.116666667
43.06008522,-92.78940116,304.1666667,389.1666667,306.5,159.3333333,6.683333333
42.0361273,-94.86031879,369.1666667,574.3333333,56.33333333,125.6666667,6.55
42.73550551,-95.15100091,368.3333333,500.6666667,131.1666667,144.1666667,6.666666667
42.38520251,-94.64042631,392.6666667,474.6666667,132.6666667,139.8333333,6.85
41.33144682,-94.92790862,349.5,603.3333333,47.0,118.6666667,6.366666667
42.03731599,-95.38203303,333.3333333,479.8333333,186.6666667,132.3333333,6.816666667
42.47130411,-91.36719975,318.0,416.3333333,265.3333333,127.0,5.866666667
42.0788846,-91.59912793,278.8333333,486.8333333,234.6666667,120.6666667,6.2
41.68557423,-93.57363189,335.1666667,477.5,187.3333333,113.0,6.6
42.73539411,-95.62390443,335.0,566.5,98.5,137.5,6.8
40.98760414,-91.54436497,350.3333333,618.3333333,31.33333333,124.3333333,6.066666667
42.07983494,-92.53258659,367.3333333,535.6666667,97.33333333,134.6666667,6.233333333
42.03581606,-92.99894355,404.5,482.5,113.0,117.8333333,6.383333333
43.35641949,-92.78887794,300.5,391.8333333,307.5,175.6666667,6.516666667
42.77655959,-94.20722514,193.5,283.3333333,523.1666667,169.6666667,7.233333333
40.73515383,-94.24367609,401.6666667,541.3333333,57.0,141.6666667,6.333333333
41.68438992,-94.90577572,374.6666667,568.5,57.0,131.8333333,6.5
42.40184272,-92.79145607,350.6666667,579.0,70.5,128.8333333,6.4
41.68617317,-92.06396689,346.3333333,531.3333333,122.3333333,132.0,6.233333333
42.07989199,-92.06566613,386.1666667,477.1666667,136.6666667,128.8333333,6.383333333
43.08251867,-95.15096476,355.5,405.1666667,239.3333333,164.0,6.966666667
42.03645075,-93.93149701,341.3333333,516.8333333,141.8333333,147.1666667,6.566666667
41.33516819,-92.64092882,419.3333333,456.1666667,124.3333333,124.3333333,6.15
42.12117494,-91.13148019,266.0,594.1666667,139.6666667,142.6666667,6.316666667
41.33438301,-93.09945584,375.1666667,483.8333333,140.8333333,170.6666667,6.366666667
40.7394955,-93.32744334,393.8333333,534.6666667,71.83333333,151.8333333,6.066666667
41.33544659,-91.71760838,376.6666667,597.1666667,26.16666667,143.1666667,6.133333333
40.75324537,-91.95036574,370.3333333,586.5,43.16666667,107.6666667,6.116666667
41.02942231,-93.32775405,418.5,511.1666667,70.5,129.8333333,6.183333333
43.08182828,-93.7345505,256.0,385.0,359.1666667,163.1666667,6.983333333
41.028923,-93.78516677,405.5,515.8333333,78.66666667,118.5,6.383333333
42.38623516,-95.1054384,389.0,546.8333333,64.33333333,137.3333333,6.6
41.02995467,-92.86906587,361.3333333,551.3333333,87.5,160.6666667,5.966666667
41.67130388,-91.58680828,336.5,593.1666667,70.33333333,163.6666667,5.983333333
41.33075401,-94.47093006,394.8333333,547.5,57.66666667,137.5,6.433333333
41.68653772,-92.53122025,365.1666667,501.0,133.8333333,120.5,6.266666667
41.03025324,-95.15639246,427.6666667,515.6666667,56.5,120.1666667,6.316666667
41.03184642,-91.94870532,351.5,617.3333333,31.16666667,122.3333333,6.133333333
40.73748131,-94.69598262,444.8333333,449.0,106.1666667,103.8333333,6.416666667
43.37788798,-94.67860248,281.3333333,376.1666667,342.6666667,220.5,7.25
41.68335764,-95.81702785,247.1666667,718.0,34.83333333,131.3333333,6.8
43.37736812,-93.26081437,221.5,420.6666667,357.8333333,210.5,6.433333333
42.46860139,-90.88240293,331.6666667,597.3333333,71.16666667,186.1666667,6.2
42.73791223,-96.21413942,338.8333333,547.3333333,113.8333333,145.8333333,7.2
42.38390312,-93.70672222,332.3333333,358.0,309.5,151.0,6.533333333
42.38387121,-93.24034298,281.0,458.1666667,261.1666667,123.3333333,6.533333333
41.0335011,-95.62127319,328.5,596.3333333,75.5,115.8333333,6.7
40.74557178,-95.60472169,281.5,639.1666667,79.5,121.0,7.0
42.05250997,-95.95989493,314.6666667,599.0,86.5,170.6666667,6.633333333
41.89807568,-90.53225181,321.6666667,620.6666667,57.66666667,135.3333333,6.1
42.86274303,-91.84443606,276.6666667,339.3333333,384.0,153.1666667,6.2
41.68480284,-94.03962462,343.1666667,578.5,78.33333333,142.6666667,6.633333333
43.20379922,-94.20686344,328.3333333,388.5,283.1666667,185.6666667,7.25
42.39006761,-96.04456221,309.5,614.1666667,76.33333333,128.6666667,7.083333333
41.33645486,-92.17850202,400.3333333,435.8333333,164.0,128.8333333,6.2
40.64205466,-91.47973468,318.5,592.8333333,88.5,129.8333333,6.183333333
43.37868939,-95.62413073,426.5,432.5,140.8333333,175.8333333,7.033333333
43.2839,-91.37910121,288.5,372.8333333,338.6666667,136.0,6.116666667
41.63703523,-90.62316703,289.6666667,651.0,59.16666667,168.8333333,6.2
40.9226694,-91.18159083,319.0,635.6666667,45.16666667,124.6666667,6.2
40.73918061,-95.15008437,406.3333333,514.3333333,79.5,118.5,6.516666667
41.027795,-94.24234701,415.6666667,500.1666667,84.0,140.3333333,6.183333333
40.73757182,-93.78630951,412.5,495.0,92.5,140.0,6.166666667
42.1717085,-90.57395197,305.1666667,568.1666667,126.6666667,171.0,6.233333333
42.84442696,-91.34124644,312.3333333,616.3333333,71.83333333,143.3333333,6.116666667
43.29075934,-91.84478244,306.3333333,545.0,148.8333333,128.1666667,5.966666667
42.4700871,-92.30865489,290.5,394.8333333,314.6666667,130.6666667,6.483333333
41.33439508,-93.56118695,363.6666667,524.3333333,112.0,139.8333333,6.366666667
41.3366659,-95.54287648,363.6666667,580.3333333,56.0,126.3333333,6.583333333
42.77473016,-92.3179833,232.6666667,306.8333333,460.3333333,133.5,6.4
43.3775654,-93.73411451,270.6666667,370.6666667,358.8333333,190.6666667,6.95
43.3809232,-96.21023192,355.6666667,559.1666667,85.33333333,164.5,6.8
42.73261068,-93.26257575,346.8333333,458.3333333,194.6666667,148.1666667,6.65
42.38691499,-95.51350232,301.1666667,647.3333333,51.33333333,130.1666667,6.75
41.68603544,-93.05372435,353.3333333,530.6666667,116.0,132.1666667,6.316666667
41.68514715,-95.31011192,341.1666667,605.6666667,53.0,143.0,6.35
41.21854952,-91.2595384,354.1666667,542.5,103.5,137.3333333,6.2
43.0836112678148,-95.6247291717836,,,,,
41.030677752616434,-92.40956241959898,,,,,
43.06009503392556,-92.31773356431609,,,,,
42.73424511575197,-94.67862424382832,,,,,
43.37788719635736,-95.15088458546364,,,,,
42.733097742508974,-93.73515210647358,,,,,
40.74325737330284,-92.8686126617358,,,,,
41.772329981670026,-91.13249683133006,,,,,
41.33075769351331,-94.01563486817032,,,,,
43.082882469414464,-96.1780279496253,,,,,
41.68378923419401,-94.50107130553435,,,,,
